"Name","Agent","ID","State","User","Notes","Job Type","Group","Tags","Created","End Time","Updated","Max Test Accuracy","time_mask_param","dropOutProbability","freq_mask_param"
"fallen-sweep-234","","pssfy6wl","finished","","-","","","","2024-07-16T03:45:40.000Z","2024-07-16T03:52:36.000Z","2024-07-16T03:52:36.000Z","0.86715129486597","30","0.1","40"
"atomic-sweep-265","","81euemhe","finished","","-","","","","2024-07-16T06:38:01.000Z","2024-07-16T06:59:19.000Z","2024-07-16T06:59:19.000Z","0.8655156746933212","60","0.1","50"
"honest-sweep-79","","sw1nsg0h","finished","","-","","","","2024-07-15T13:16:30.000Z","2024-07-15T13:25:51.000Z","2024-07-15T13:25:51.000Z","0.8654248069059518","20","0","30"
"worthy-sweep-413","","pjkbuzbt","finished","","-","","","","2024-07-16T19:09:51.000Z","2024-07-16T19:15:05.000Z","2024-07-16T19:15:05.000Z","0.8653339391185825","70","0.2","50"
"blooming-sweep-4","","qy0orbia","finished","","-","","","","2024-07-15T05:20:30.000Z","2024-07-15T05:27:24.000Z","2024-07-15T05:27:24.000Z","0.8647887323943662","40","0","10"
"kind-sweep-58","","bbmu36xb","finished","","-","","","","2024-07-15T11:02:44.000Z","2024-07-15T11:07:02.000Z","2024-07-15T11:07:02.000Z","0.86424352567015","20","0","30"
"peachy-sweep-23","","44cdcnz0","finished","","-","","","","2024-07-15T07:03:03.000Z","2024-07-15T07:11:29.000Z","2024-07-15T07:11:29.000Z","0.8640617900954112","20","0","10"
"stilted-sweep-196","","dgxl4nob","finished","","-","","","","2024-07-16T00:40:02.000Z","2024-07-16T00:52:00.000Z","2024-07-16T00:52:00.000Z","0.8637891867333031","70","0.1","20"
"sweepy-sweep-69","","stz3144d","finished","","-","","","","2024-07-15T12:22:04.000Z","2024-07-15T12:24:40.000Z","2024-07-15T12:24:40.000Z","0.8636074511585643","60","0","30"
"cool-sweep-42","","s7k5hro0","finished","","-","","","","2024-07-15T09:08:39.000Z","2024-07-15T09:33:51.000Z","2024-07-15T09:33:51.000Z","0.8632439800090868","70","0","20"
"major-sweep-482","","um6djaix","finished","","-","","","","2024-07-17T01:25:48.000Z","2024-07-17T01:36:04.000Z","2024-07-17T01:36:04.000Z","0.8627896410722399","60","0.3","30"
"glorious-sweep-348","","mk6qg4kf","finished","","-","","","","2024-07-16T14:03:15.000Z","2024-07-16T14:07:38.000Z","2024-07-16T14:07:38.000Z","0.8619718309859155","50","0.2","30"
"blooming-sweep-5","","uuhzh1tu","finished","","-","","","","2024-07-15T05:27:26.000Z","2024-07-15T05:36:48.000Z","2024-07-15T05:36:48.000Z","0.8617900954111768","50","0","10"
